티어,장비 현재 레벨,장비 상승 레벨,강화 현재 단계,강화 상승 단계,파괴석,성장 파편,성장 실링,파편,융화재료,돌파석,누골,누실
3,1585,1590,12,13,560,40000,1000000,6400,6,15,1090,45000
3,1590,1595,13,14,600,,,6400,10,16,1150,45000
3,1595,1600,14,15,640,,,6400,10,17,1220,45000
3,1600,1605,15,16,950,70000,1400000,9000,12,22,1610,50000
3,1605,1610,16,17,1000,70000,1400000,9000,12,24,1720,50000
3,1610,1615,17,18,1050,100000,1500000,12000,20,26,1840,50000
3,1615,1620,18,19,1100,100000,1500000,14000,20,28,1980,50000
4,1640,1645,10,11,1250,21000,525000,5000,12,18,1620,55000
4,1645,1650,11,12,1300,23000,690000,5300,12,21,1790,55000
4,1650,1655,12,13,1400,33000,825000,7600,15,24,1990,55000
4,1655,1660,13,14,1550,38000,950000,8200,15,27,2200,55000
4,1660,1665,14,15,1700,43000,1075000,8800,18,30,2430,55000
4,1665,1670,15,16,1950,49000,1225000,9400,18,33,2670,55000
4,1670,1675,16,17,2200,66000,1650000,12000,25,36,2940,65000
4,1675,1680,17,18,2450,75000,1875000,12900,25,39,3220,65000
4,1680,1685,18,19,2700,85000,1955000,13700,25,42,3510,65000
4,1685,1690,19,20,2950,106000,2120000,16000,35,45,3830,90000
4,1690,1695,20,21,3200,120000,2400000,17100,35,48,4160,90000
